captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery
20260826T135832Z,https://saba.ye,21,saba.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,8235593,full
20260826T135832Z,https://mmy.ye,21,mmy.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,4455690,full
20260826T135832Z,https://althawrah.ye,21,althawrah.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-1,1,5233030,full
20260826T135832Z,http://aghhajjah.gov.ye/,21,aghhajjah.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,27404,full
20260826T135832Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,4008336,full
20260826T135832Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-1,1,7551995,full
20260826T135832Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,6088358,full
20260826T135832Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,5988840,full
20260826T135832Z,https://cama.gov.ye/,21,cama.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,6901581,full
20260826T135832Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-1,1,8236736,full
20260826T135832Z,https://cra.gov.ye/,16,cra.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,3621161,full
20260826T135832Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,4045781,full
20260826T135832Z,http://gia.gov.ye/,1,gia.gov.ye-20260826T135832Z.warc.gz,archived,0,7148,full
20260826T135832Z,http://hajjahmla.gov.ye/,1,hajjahmla.gov.ye-20260826T135832Z.warc.gz,archived,0,7179,full
20260826T135832Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-1,1,10305058,full
20260826T135832Z,https://hocc.gov.ye/,1,hocc.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-4,4,1943,homepage-only
20260826T135832Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,7391597,full
20260826T135832Z,https://innovation-record.hasti.gov.ye/,6,innovation-record.hasti.gov.ye-20260826T135832Z.warc.gz,archived,0,3068302,full
20260826T135832Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,7855041,full
20260826T135832Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,11967,full
20260826T135832Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,4729346,full
20260826T135832Z,https://moit.gov.ye/,21,,failed-hard-size-limit,1,0,full
20260826T135832Z,http://mom.gov.ye/,21,mom.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,641,full
20260826T135832Z,https://msw.gov.ye/,1,msw.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-1,1,1498141,full
20260826T135832Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,4171634,full
20260826T135832Z,https://olympics.hasti.gov.ye/,7,olympics.hasti.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,9633690,full
20260826T135832Z,https://research-priorities.hasti.gov.ye/,11,research-priorities.hasti.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,7927689,full
20260826T135832Z,http://suerp.gov.ye/,1,suerp.gov.ye-20260826T135832Z.warc.gz,archived,0,7149,full
20260826T135832Z,https://tax.gov.ye/,21,tax.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,6186034,full
20260826T135832Z,https://tn-search.moit.gov.ye/,1,tn-search.moit.gov.ye-20260826T135832Z.warc.gz,archived,0,1570711,full
20260826T135832Z,https://training.tax.gov.ye/,5,training.tax.gov.ye-20260826T135832Z.warc.gz,archived,0,8425,full
20260826T135832Z,http://www.aghhajjah.gov.ye/,21,www.aghhajjah.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,27427,full
20260826T135832Z,http://www.agoye.gov.ye/,21,www.agoye.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,5106967,full
20260826T135832Z,http://www.agriculture.gov.ye/,1,www.agriculture.gov.ye-20260826T135832Z.warc.gz,archived,0,7197,full
20260826T135832Z,https://www.algumhorihosp-san.gov.ye/,16,www.algumhorihosp-san.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-1,1,7552141,full
20260826T135832Z,http://www.cra.gov.ye/,16,www.cra.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,3171553,full
20260826T135832Z,https://www.mohesr.gov.ye/,20,www.mohesr.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-8,8,4729469,full
20260826T135832Z,https://www.training.tax.gov.ye/,5,www.training.tax.gov.ye-20260826T135832Z.warc.gz,archived,0,8459,full
20260826T135832Z,http://www.yms.gov.ye/,1,www.yms.gov.ye-20260826T135832Z.warc.gz,archived,0,3215,full
20260826T135832Z,https://yementp.moit.gov.ye/,1,yementp.moit.gov.ye-20260826T135832Z.warc.gz,archived,0,3276,full
20260826T135832Z,http://yemenvision.gov.ye/,21,yemenvision.gov.ye-20260826T135832Z.warc.gz,archived-with-wget-exit-124,124,26346,full
20260826T135832Z,https://yms.gov.ye/,1,yms.gov.ye-20260826T135832Z.warc.gz,archived,0,7328,full
20260826T135832Z,https://ysmc.gov.ye/,1,ysmc.gov.ye-20260826T135832Z.warc.gz,archived,0,178782,full
