checked_at,host,selected_url,final_url,http_status,content_type,sources,error
2026-09-03T04:40:26+00:00,189.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:26+00:00,acf.gov.ye,,,0,,certificate-transparency;hackertarget;inventory;rapiddns,https: _ssl.c:983: The handshake operation timed out | http: timed out
2026-09-03T04:40:26+00:00,aden.gov.ye,,,0,,certificate-transparency;hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,adenradio.gov.ye,,,0,,certificate-transparency;hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,afmis.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,afy.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,aghhajjah.gov.ye,,,0,,certificate-transparency;hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,agoye.gov.ye,http://agoye.gov.ye/,http://agoye.gov.ye/,200,text/html,certificate-transparency;hackertarget;inventory,
2026-09-03T04:40:26+00:00,agriculture.gov.ye,http://agriculture.gov.ye/,http://agriculture.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,certificate-transparency;hackertarget;inventory,
2026-09-03T04:40:26+00:00,airtransport.gov.ye,,,0,,certificate-transparency;hackertarget;inventory,https: The read operation timed out | http: timed out
2026-09-03T04:40:26+00:00,albaydhahis.gov.ye,http://albaydhahis.gov.ye/,http://albaydhahis.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,certificate-transparency;hackertarget;inventory,
2026-09-03T04:40:26+00:00,algumhorihosp-san.gov.ye,https://algumhorihosp-san.gov.ye/,https://algumhorihosp-san.gov.ye/,200,text/html,hackertarget;inventory;pinned,
2026-09-03T04:40:26+00:00,aljabha.moj.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:26+00:00,alqdhaeih.moj.gov.ye,,,0,,certificate-transparency;inventory;rapiddns,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:26+00:00,althawra.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,alwahda.gov.ye,,,0,,certificate-transparency;hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,amanaedu.gov.ye,,,0,,certificate-transparency;hackertarget;inventory;rapiddns,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,amlcft.gov.ye,https://amlcft.gov.ye/,https://amlcft.gov.ye/index.php/ar/,200,text/html,certificate-transparency;hackertarget;inventory,
2026-09-03T04:40:26+00:00,amranhealth.gov.ye,,,0,,certificate-transparency;hackertarget;inventory;rapiddns,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,apcra.srs-mohe.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:26+00:00,app.area.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,apps.mot.gov.ye,https://apps.mot.gov.ye/,https://apps.mot.gov.ye/,206,text/html,certificate-transparency;inventory,
2026-09-03T04:40:26+00:00,ar.hocc.gov.ye,https://ar.hocc.gov.ye/,https://ar.hocc.gov.ye/,200,text/html,inventory,
2026-09-03T04:40:26+00:00,area.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,ath.gov.ye,,,0,,certificate-transparency;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,cama.gov.ye,https://cama.gov.ye/,https://cama.gov.ye/public/ar,200,text/html,certificate-transparency;inventory;rapiddns,
2026-09-03T04:40:26+00:00,camanew.cama.gov.ye,,,0,,certificate-transparency;inventory;rapiddns,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:26+00:00,caqa.gov.ye,https://caqa.gov.ye/,https://caqa.gov.ye/,200,text/html,inventory;pinned,
2026-09-03T04:40:26+00:00,centralbank.gov.ye,,,0,,certificate-transparency;inventory;rapiddns,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,coca.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -3] Temporary failure in name resolution | http: [Errno -3] Temporary failure in name resolution
2026-09-03T04:40:26+00:00,comp.ltaa.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:26+00:00,comtc.mof.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:26+00:00,cra.gov.ye,http://cra.gov.ye/,http://cra.gov.ye/,200,text/html,certificate-transparency;inventory;rapiddns,
2026-09-03T04:40:26+00:00,cso.gov.ye,,,0,,certificate-transparency;inventory,https: timed out | http: timed out
2026-09-03T04:40:26+00:00,customs.gov.ye,,,0,,certificate-transparency;inventory,https: timed out | http: timed out
2026-09-03T04:40:27+00:00,darsys.srs-mohe.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:27+00:00,dhis2.moh.gov.ye,,,0,,certificate-transparency;inventory,https: timed out | http: timed out
2026-09-03T04:40:27+00:00,dim.ptc.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno 111] Connection refused | http: [Errno 111] Connection refused
2026-09-03T04:40:27+00:00,dsiye.srs-mohe.gov.ye,,,0,,certificate-transparency;inventory;rapiddns,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-09-03T04:40:27+00:00,dsuye.srs-mohe.gov.ye,,,0,,certificate-transparency;inventory,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
