captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260913T175444Z,https://saba.ye,21,saba.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,3912080,full,78,139
20260913T175444Z,https://saba.ye/en,21,saba.ye-en-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,2101907,full,63,123
20260913T175444Z,https://mmy.ye,21,mmy.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,1069347,full,27,179
20260913T175444Z,https://althawrah.ye,21,althawrah.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,2932701,full,43,139
20260913T175444Z,https://alsyasiah.ye,21,alsyasiah.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,4733870,full,102,26
20260913T175444Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,1313160,full,184,363
20260913T175444Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260913T175444Z.warc.gz,archived,0,3217,full,0,1
20260913T175444Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,510740,full,7,98
20260913T175444Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,545751,full,5,131
20260913T175444Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,532678,full,6,135
20260913T175444Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-124,124,4008371,full,101,0
20260913T175444Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,948150,full,19,107
20260913T175444Z,http://amanaedu.gov.ye/,1,amanaedu.gov.ye-20260913T175444Z.warc.gz,archived,0,3210,full,0,1
20260913T175444Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,6088607,full,216,0
20260913T175444Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,5768070,full,166,0
20260913T175444Z,http://ath.gov.ye/,21,ath.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-124,124,19007,full,1,0
20260913T175444Z,https://cama.gov.ye/,21,cama.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,5990940,full,25,3
20260913T175444Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,2079807,full,26,131
20260913T175444Z,http://cra.gov.ye/,16,cra.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-124,124,5117932,full,455,1
20260913T175444Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,2344332,full,277,71
20260913T175444Z,https://gasmed.gov.ye/,17,gasmed.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-124,124,1902118,full,27,74
20260913T175444Z,https://ghosanaa.gov.ye/,3,ghosanaa.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,7860,full,3,1
20260913T175444Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,10305096,full,17,0
20260913T175444Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,3498328,full,223,1
20260913T175444Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,706672,full,42,100
20260913T175444Z,http://jia.gov.ye/,1,jia.gov.ye-20260913T175444Z.warc.gz,archived,0,7161,full,1,0
20260913T175444Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,5596,full,0,3
20260913T175444Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,1412101,full,127,189
20260913T175444Z,https://moit.gov.ye/,21,moit.gov.ye-20260913T175444Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16735,full,1,0
20260913T175444Z,https://msw.gov.ye/,1,msw.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,13625,full,0,10
20260913T175444Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-124,124,1481655,full,21,531
20260913T175444Z,http://nvdl.gov.ye/,1,nvdl.gov.ye-20260913T175444Z.warc.gz,archived,0,7169,full,1,0
20260913T175444Z,https://olympics.hasti.gov.ye/,7,olympics.hasti.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,8051861,full,3,21
20260913T175444Z,http://pgfpp.gov.ye/,1,pgfpp.gov.ye-20260913T175444Z.warc.gz,archived,0,7185,full,1,0
20260913T175444Z,https://research-priorities.hasti.gov.ye/,11,research-priorities.hasti.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,525474,full,85,112
20260913T175444Z,https://tax.gov.ye/,21,tax.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,2484203,full,41,79
20260913T175444Z,https://tn-search.moit.gov.ye/,1,tn-search.moit.gov.ye-20260913T175444Z.warc.gz,archived,0,30629,full,5,13
20260913T175444Z,https://training.tax.gov.ye/,5,training.tax.gov.ye-20260913T175444Z.warc.gz,archived,0,8444,full,5,0
20260913T175444Z,https://www.agoye.gov.ye/,21,www.agoye.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-4,4,5642947,full,142,0
20260913T175444Z,http://www.albaydhahis.gov.ye/,1,www.albaydhahis.gov.ye-20260913T175444Z.warc.gz,archived,0,7229,full,1,0
20260913T175444Z,https://www.algumhorihosp-san.gov.ye/,16,www.algumhorihosp-san.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,460096,full,7,119
20260913T175444Z,http://www.amanaedu.gov.ye/,1,www.amanaedu.gov.ye-20260913T175444Z.warc.gz,archived,0,7210,full,1,0
20260913T175444Z,https://www.amlcft.gov.ye/,21,www.amlcft.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,6089303,full,216,0
20260913T175444Z,http://www.amranhealth.gov.ye/,1,www.amranhealth.gov.ye-20260913T175444Z.warc.gz,archived,0,3253,full,0,1
20260913T175444Z,https://www.cama.gov.ye/,21,www.cama.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,6039003,full,26,12
20260913T175444Z,http://www.gia.gov.ye/,1,www.gia.gov.ye-20260913T175444Z.warc.gz,archived,0,3209,full,0,1
20260913T175444Z,http://www.goam.gov.ye/,21,www.goam.gov.ye-20260913T175444Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,31090,full,1,0
20260913T175444Z,https://www.hasti.gov.ye/,7,www.hasti.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,10305216,full,17,0
20260913T175444Z,http://www.htb.gov.ye/,1,www.htb.gov.ye-20260913T175444Z.warc.gz,archived,0,3212,full,0,1
20260913T175444Z,http://www.jia.gov.ye/,1,www.jia.gov.ye-20260913T175444Z.warc.gz,archived,0,7188,full,1,0
20260913T175444Z,https://www.mohesr.gov.ye/,1,www.mohesr.gov.ye-20260913T175444Z.warc.gz,archived,0,6188,homepage-only,1,3
20260913T175444Z,https://www.moit.gov.ye/,21,www.moit.gov.ye-20260913T175444Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16747,full,1,0
20260913T175444Z,https://www.moj.gov.ye/,21,www.moj.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-1,1,663776,full,13,75
20260913T175444Z,http://www.nvdl.gov.ye/,1,www.nvdl.gov.ye-20260913T175444Z.warc.gz,archived,0,7199,full,1,0
20260913T175444Z,http://www.pgfpp.gov.ye/,1,www.pgfpp.gov.ye-20260913T175444Z.warc.gz,archived,0,7206,full,1,0
20260913T175444Z,https://www.tax.gov.ye/,21,www.tax.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-8,8,704998,full,18,102
20260913T175444Z,https://www.training.tax.gov.ye/,5,www.training.tax.gov.ye-20260913T175444Z.warc.gz,archived,0,8471,full,5,0
20260913T175444Z,http://www.yms.gov.ye/,1,www.yms.gov.ye-20260913T175444Z.warc.gz,archived,0,3242,full,1,0
20260913T175444Z,https://yementp.moit.gov.ye/,1,yementp.moit.gov.ye-20260913T175444Z.warc.gz,archived,0,3300,full,1,0
20260913T175444Z,http://yemenvision.gov.ye/,21,yemenvision.gov.ye-20260913T175444Z.warc.gz,archived-with-wget-exit-124,124,26351,full,1,0
20260913T175444Z,https://yms.gov.ye/,9,yms.gov.ye-20260913T175444Z.warc.gz,archived,0,110717,full,8,16
20260913T175444Z,http://yrspc.gov.ye/,1,yrspc.gov.ye-20260913T175444Z.warc.gz,archived,0,4324,full,0,2
20260913T175444Z,https://ysmc.gov.ye/,1,ysmc.gov.ye-20260913T175444Z.warc.gz,archived,0,167314,full,13,1
