release,completed_at,targets,warcs,observed_govye,reachable_govye,response_records,revisit_records,metadata_version,methodology_version,workflow_commit,methodology_sha256,pinned_inventory_sha256,accumulated_inventory_sha256,selected_targets_sha256,candidate_count,unreachable_count,excluded_count,targets_with_records,empty_captures,hard_limit_fallbacks,complete_failures,clean_wget_outcomes,non_clean_wget_outcomes,warc_bytes
archive-2026-08-26-3,2026-08-26T14:31:10Z,43,42,125,40,,,legacy-unversioned,legacy-unversioned,,,,,,,,,,,,,,,
archive-2026-08-26-6,2026-08-26T18:41:43Z,43,43,125,33,2157,2771,legacy-unversioned,legacy-unversioned,,,,,,,,,,,,,,,
archive-2026-08-27-7,2026-08-27T10:29:06Z,36,36,327,26,1281,2554,legacy-unversioned,legacy-unversioned,,,,,,,,,,,,,,,
archive-2026-08-27-8,2026-08-27T13:36:45Z,51,51,327,41,2507,3296,2.0.0,2.0.0,21ec027f9be72fb77065f7b100ca63f4e37779f8,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,3e3dbffc4fcc00199ce4d0e7de6c6601b4e1e660f93dde792e81911f074b2913,7f91e29a09d41df2336f3d86f6f419f8ba0c451eb6106adc4556854e725e8ba7,327,275,11,51,0,2,0,16,35,98648301
archive-2026-08-28-9,2026-08-28T14:02:23Z,48,48,327,38,2020,3094,2.0.0,2.0.0,3e33d5d745cd6f780ec7d0401d1fef61903cde55,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,3e3dbffc4fcc00199ce4d0e7de6c6601b4e1e660f93dde792e81911f074b2913,e2ccc80cf314e745f3c8fa2e501ba7b02e9f0482075f917fd1770123fed120f9,327,281,8,48,0,2,0,13,35,102580337
archive-2026-08-29-10,2026-08-29T07:46:52Z,49,49,327,39,2063,3534,2.0.0,2.0.0,b2c0c3d2bc20493c98113bc879bc59bb08378291,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,3e3dbffc4fcc00199ce4d0e7de6c6601b4e1e660f93dde792e81911f074b2913,214c66a9f123c5c4673de5d26e691706f5086e0b44bff4882d82e7699165da64,327,278,10,49,0,2,0,13,36,109993772
archive-2026-08-31-11,2026-08-31T05:49:07Z,57,57,327,47,2099,3488,2.0.0,2.0.0,64fb9629f0c90e09627b3fe4d880239a4150cba0,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,3e3dbffc4fcc00199ce4d0e7de6c6601b4e1e660f93dde792e81911f074b2913,801a391b57dc80c68e7d308a506f9dafe743506a077ce06096d062bff0885e95,327,269,11,57,0,2,0,18,39,106921463
archive-2026-09-03-12,2026-09-03T05:11:04Z,50,50,327,40,2343,3386,2.0.0,2.0.0,3454e80e4a410c506ace7961c13acc2973864bc2,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,3e3dbffc4fcc00199ce4d0e7de6c6601b4e1e660f93dde792e81911f074b2913,2af70994ec6400a6f1ab5428fae84d3343b9977688c4bc934193ec0b3672d2aa,327,279,8,48,2,2,0,14,36,100748912
archive-2026-09-05-13,2026-09-05T05:12:57Z,55,55,327,45,2390,3435,2.0.0,2.0.0,76622cede9707acb15a06fce0499d27d23ef911c,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,3e3dbffc4fcc00199ce4d0e7de6c6601b4e1e660f93dde792e81911f074b2913,6dd78f15c0fb467f0b4376847dc126dd094fab2ef5b4f9327f7eed10d9b44a01,327,271,11,51,4,2,0,16,39,100969530
archive-2026-09-07-14,2026-09-07T18:21:49Z,45,45,329,35,2283,2950,2.0.0,2.0.0,2df199ada23c6d56c99bc421cb964648fc3b0337,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,2ea48a579dada7b9a13aa069a79acbe17f755a588a1980c23eb75055b4402dfe,329,281,13,44,1,2,0,14,31,71321073
archive-2026-09-08-15,2026-09-08T18:52:32Z,45,45,329,35,2393,3069,2.0.0,2.0.0,a1a6c0c67df5eb2d6709f8b530cdfd2f14f2546b,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,0923ea0685ec6952be0a056fbc732898fffad4052756aa763f4089badc93fb79,329,283,11,43,2,1,0,9,36,109716990
archive-2026-09-09-16,2026-09-09T18:43:28Z,45,45,329,35,2015,3063,2.0.0,2.0.0,c0b0bbf74eb90a144237e24c7e001bdff5d72980,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,e9653e178f6ec811c998f507941f8d80445a815cb0debfe89c5e559dab1f6cfa,329,285,9,45,0,2,0,14,31,93114846
archive-2026-09-10-17,2026-09-10T18:34:48Z,50,50,329,40,1920,2982,2.0.0,2.0.0,cef60b6ad4eade50ce11f95e0872e3bb385060a1,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,6a47258929fd3c430a0b797cd21b893ba18ea6af696480b0a36040f16188f942,329,276,13,48,2,1,0,17,33,89685623
archive-2026-09-11-18,2026-09-11T18:49:34Z,59,59,329,49,2178,3132,2.0.0,2.0.0,4a413fd737f21ea7615162888bfe4af9fbb2c77d,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,f208f0c680d77610d9f7610938149b926a0984f1c413140bc1d1a906e6e599c5,329,267,13,53,6,1,0,18,41,66056932
